AGID00259,AGID00259,PKC-a-b-II_pT638_T641,PRKCA
AGID00259,AGID00259,PKC-a-b-II_pT638_T641,PRKCB
AGID00172,AGID00172,PKCALPHA,PRKCA
AGID00460,AGID00460,PKCALPHA_pS657,PRKCA
AGID00114,AGID00114,PKCDELTA_pS664,PRKCD
AGID00163,AGID00163,PKCPANBETAII_pS660,PRKCA
AGID00163,AGID00163,PKCPANBETAII_pS660,PRKCB
AGID00163,AGID00163,PKCPANBETAII_pS660,PRKCD
AGID00163,AGID00163,PKCPANBETAII_pS660,PRKCE
AGID00163,AGID00163,PKCPANBETAII_pS660,PRKCH
AGID00163,AGID00163,PKCPANBETAII_pS660,PRKCQ
AGID00126,AGID00126,PKM2,PKM
AGID00512,AGID00512,PLC-gamma1,PLCG1
AGID02138,AGID02138,PLC-gamma2_pY759,PLCG2
AGID00084,AGID00084,PLK1,PLK1
AGID00203,AGID00203,PMS2,PMS2
AGID00207,AGID00207,Porin,VDAC1
AGID00381,AGID00381,PR,PGR
AGID00081,AGID00081,PRAS40,AKT1S1
AGID00082,AGID00082,PRAS40_pT246,AKT1S1
AGID00424,AGID00424,PRC1_pT481,PRC1
AGID00492,AGID00492,PRDX1,PRDX1
AGID00190,AGID00190,PREX1,PREX1
AGID00061,AGID00061,PTEN,PTEN
AGID00364,AGID00364,PTPN12,PTPN12
AGID00218,AGID00218,Puma,BBC3
AGID00200,AGID00200,PYGB,PYGB
AGID00535,AGID00535,PYGL,PYGL
AGID00202,AGID00202,PYGM,PYGM
AGID00275,AGID00275,Pyk2_pY402,PTK2B
AGID00145,AGID00145,RAB11,RAB11A
AGID00145,AGID00145,RAB11,RAB11B
AGID00169,AGID00169,RAB25,RAB25
AGID00342,AGID00342,Rad23A,RAD23A
AGID00261,AGID00261,RAD50,RAD50
AGID00360,AGID00360,RAD51,RAD51
AGID00158,AGID00158,RAPTOR,RPTOR
AGID00059,AGID00059,RB,RB1
AGID00060,AGID00060,RB_pS807S811,RB1
AGID00164,AGID00164,RBM15,RBM15
AGID00547,AGID00547,RET_pY905,RET
AGID00097,AGID00097,Rheb,RHEB
AGID00159,AGID00159,RICTOR,RICTOR
AGID00160,AGID00160,RICTOR_pT1135,RICTOR
AGID00282,AGID00282,RIP,RIPK1
AGID00283,AGID00283,RIP3,RIPK3
AGID00416,AGID00416,RPA32,RPA2
AGID00246,AGID00246,RPA32_pS4_S8,RPA2
AGID00341,AGID00341,RRM1,RRM1
AGID00344,AGID00344,RRM2,RRM2
AGID00554,AGID00554,RSK1,RPS6KA1
AGID00353,AGID00353,S100A4,S100A4
AGID00330,AGID00330,S6,RPS6
AGID00062,AGID00062,S6_pS235S236,RPS6
AGID00063,AGID00063,S6_pS240S244,RPS6
AGID00157,AGID00157,SCD1,SCD
AGID00230,AGID00230,SDHA,SDHA
AGID00294,AGID00294,SETD2,SETD2
AGID00161,AGID00161,SF2,SRSF1
AGID02179,AGID02179,SFRP1,SFRP1
AGID00431,AGID00431,SGK1,SGK1
AGID00430,AGID00430,SGK3,SGK3
AGID02168,AGID02168,SHC_pY317,SHC1
AGID00376,AGID00376,SHP2,PTPN11
AGID00183,AGID00183,SHP2_pY542,PTPN11
AGID02208,AGID02208,SIRP-alpha,SIRPA
AGID00222,AGID00222,SLC1A5,SLC1A5
AGID00255,AGID00255,Slfn11,SLFN11
AGID00064,AGID00064,SMAC,DIABLO
AGID00113,AGID00113,SMAD1,SMAD1
AGID00091,AGID00091,SMAD3,SMAD3
AGID02160,AGID02160,SMAD4,SMAD4
AGID00065,AGID00065,SNAIL,SNAI1
AGID00325,AGID00325,SOD1,SOD1
